 Rank , Player Name ,Position ,Team , Bye Week ,Best Rank , Worst Rank , Avg Rank , Std Dev ,ADP 
1,Antonio Brown,WR1,PIT,8,1,4,1.385964912,0.789278728,1
2,Odell Beckham Jr.,WR2,NYG,8,2,12,3.263157895,1.811525632,3
3,Julio Jones,WR3,ATL,11,1,9,3.771929825,1.521974063,5
4,Todd Gurley,RB1,LA,8,1,11,4.333333333,2.364454118,4
5,David Johnson,RB2,ARI,9,1,19,7.315789474,4.464903664,7
6,Adrian Peterson,RB3,MIN,6,2,18,8.070175439,3.617014612,6
7,DeAndre Hopkins,WR4,HOU,9,2,23,9.140350877,3.757745668,9
8,A.J. Green,WR5,CIN,9,4,16,10.07017544,2.648135055,12
9,Dez Bryant,WR6,DAL,7,5,19,10.28070175,2.693425302,11
10,Rob Gronkowski,TE1,NE,9,4,27,10.52631579,4.456831,10
11,Lamar Miller,RB4,HOU,9,3,29,11.29824561,5.119501457,15
12,Ezekiel Elliott,RB5,DAL,7,2,28,8.714285714,4.550173802,8
13,Allen Robinson,WR7,JAC,5,8,25,14.64912281,3.904523818,17
14,Jamaal Charles,RB6,KC,5,6,40,16.07017544,6.445070601,13
15,Jordy Nelson,WR8,GB,4,7,27,16.26315789,3.854941307,14
16,Le'Veon Bell,RB7,PIT,8,1,83,18.03508772,13.33504144,2
17,Alshon Jeffery,WR9,CHI,9,11,34,19.38596491,4.514127477,18
18,Mike Evans,WR10,TB,6,9,33,20.24561404,5.232424891,25
19,Doug Martin,RB8,TB,6,6,43,20.87719298,6.499852024,19
20,Devonta Freeman,RB9,ATL,11,6,108,21.10526316,16.16437952,16
21,Mark Ingram,RB10,NO,5,10,54,21.24561404,7.533039977,22
22,Keenan Allen,WR11,SD,11,12,47,24.28070175,6.856305552,29
23,Brandon Marshall,WR12,NYJ,11,14,45,24.56140351,6.854419867,21
24,Eddie Lacy,RB11,GB,4,11,58,24.84210526,8.759535103,20
25,LeSean McCoy,RB12,BUF,10,14,41,25.05263158,6.225079588,27
26,Brandin Cooks,WR13,NO,5,16,50,25.80701754,6.543883166,28
27,Amari Cooper,WR14,OAK,10,10,46,26.80701754,6.615872982,24
